Номенклатура АлгаДистрибьюшн факт;Наименование от производителя
"1ЭЭ01001 ""OMEGA 9"", тон 3.6 Баклажан / Aubergine";"Стойкая крем-краска  для волос «Éclair» с маслами ""OMEGA 9"", тон 3.6                 Баклажан / Aubergine"
"1ЭЭ01002 ""OMEGA 9"", тон 4.6 Божоле / Dark Red";"Стойкая крем-краска  для волос «Éclair» с маслами ""OMEGA 9"", тон 4.6                     Божоле / Dark Red "
"1ЭЭ01003 ""OMEGA 9"", тон 5.5 Гранат / Deep Red";" Стойкая крем-краска  для волос «Éclair» с маслами ""OMEGA 9"", тон 5.5                 Гранат  / Deep Red"
"1ЭЭ01004 ""OMEGA 9"", тон 4.5 Дикая вишня / Wild Cherry";"Стойкая крем-краска  для волос «Éclair» с маслами ""OMEGA 9"", тон 4.5                    Дикая вишня / Wild Cherry"
"1ЭЭ01005 ""OMEGA 9"", тон 10.6 Жемчужно-серебристый / Pearl Silver Blonde";"Стойкая крем-краска  для волос «Éclair» с маслами ""OMEGA 9"", тон 10.6    Жемчужно-серебристый / Pearl Silver Blonde"
"1ЭЭ01006 ""OMEGA 9"", тон 1.1 Иссиня-черный / Bluish Black";"Стойкая крем-краска  для волос «Éclair» с маслами ""OMEGA 9"", тон 1.1              Иссиня-черный / Bluish Black"
"1ЭЭ01007 ""OMEGA 9"", тон 6.3 Капучино / Medium Dark Blonde";"Стойкая крем-краска  для волос «Éclair» с маслами ""OMEGA 9"", тон 6.3             Капучино / Medium Dark Blonde"
"1ЭЭ01008 ""OMEGA 9"", тон 9.7 Карамель / Caramel";"Стойкая крем-краска  для волос «Éclair» с маслами ""OMEGA 9"", тон 9.7           Карамель / Caramel"
"1ЭЭ01009 ""OMEGA 9"", тон 4.7 Каштан / Chesnut";"Стойкая крем-краска  для волос «Éclair» с маслами ""OMEGA 9"", тон 4.7             Каштан / Chesnut "
"1ЭЭ01010 ""OMEGA 9"", тон 6.5 Махагон / Mahogany";"Стойкая крем-краска  для волос «Éclair» с маслами ""OMEGA 9"", тон 6.5               Махагон / Mahogany"
"1ЭЭ01011 ""OMEGA 9"", тон 6.7 Натуральный кофе / Coffe";"Стойкая крем-краска  для волос «Éclair» с маслоами ""OMEGA 9"", тон 6.7  Натуральный кофе / Coffe"
"1ЭЭ01012 ""OMEGA 9"", тон 5.55 Рубин / Deep Mahogany";"Стойкая крем-краска  для волос «Éclair» с маслами ""OMEGA 9"", тон 5.55                      Рубин / Deep Mahogany"
"1ЭЭ01013 ""OMEGA 9"", тон 7.0 Русый / Medium blonde";"Стойкая крем-краска  для волос «Éclair» с маслами ""OMEGA 9"", тон 7.0                       Русый / Medium blonde"
"1ЭЭ01014 ""OMEGA 9"", тон 8.0 Светло-русый / Light Blonde";"Стойкая крем-краска  для волос «Éclair» с маслами ""OMEGA 9"", тон 8.0                          Светло-русый / Light Blonde"
"1ЭЭ01015 ""OMEGA 9"", тон 3.0 Темно-каштановый / Dark Brown";"Стойкая крем-краска  для волос «Éclair» с маслами ""OMEGA 9"", тон  3.0                    Темно-каштановый / Dark Brown"
